table,columns,model_status
w_policy_type_d,w_policy_type_id,updated
w_policy_type_d,policy_type_src_id,updated
w_policy_type_d,type_name,updated
w_policy_type_d,w_integration key,updated
w_policy_type_d,w_valid_from,updated
w_policy_type_d,w_valid_to,updated
w_policy_type_d,w_valid_flag,updated
w_policy_type_d,w_created_time,updated
w_policy_type_d,w_updated_time,updated
w_policy_type_d,w_job_id,updated
w_coverage_d,w_coverage_id,updated
w_coverage_d,coverage_code,updated
w_coverage_d,coverage_name,updated
w_coverage_d,sub_coverage_code,updated
w_coverage_d,sub_coverage_name,updated
w_coverage_d,w_integration key,updated
w_coverage_d,w_valid_from,updated
w_coverage_d,w_valid_to,updated
w_coverage_d,w_valid_flag,updated
w_coverage_d,w_created_time,updated
w_coverage_d,w_updated_time,updated
w_coverage_d,w_job_id,updated
w_product_d,w_product_id,updated
w_product_d,w_main_product_id,updated
w_product_d,product_line,updated
w_product_d,product_code,updated
w_product_d,product_name,updated
w_product_d,sub_product_code,updated
w_product_d,sub_product_name,updated
w_product_d,product_currency_code,updated
w_product_d,product_version,updated
w_product_d,w_integration_key,updated
w_product_d,w_valid_from,updated
w_product_d,w_valid_to,updated
w_product_d,w_valid_flag,updated
w_product_d,w_created_time,updated
w_product_d,w_updated_time,updated
w_product_d,w_job_id,updated
w_policy_transaction_fee_f,w_premium_transaction_id,TBU
w_policy_transaction_fee_f,w_policy_id,TBU
w_policy_transaction_fee_f,w_coverage_id,TBU
w_policy_transaction_fee_f,w_product_id,TBU
w_policy_transaction_fee_f,w_agent_id,TBU
w_policy_transaction_fee_f,w_branch_id,TBU
w_policy_transaction_fee_f,w_fee_type_id,TBU
w_policy_transaction_fee_f,w_arap_type_id,TBU
w_policy_transaction_fee_f,w_claim_id,TBU
w_policy_transaction_fee_f,gl_fee_id,TBU
w_policy_transaction_fee_f,tramsaction_no,TBU
w_policy_transaction_fee_f,transaction_type,TBU
w_policy_transaction_fee_f,tramsaction_date,TBU
w_policy_transaction_fee_f,account_amount,TBU
w_policy_transaction_fee_f,account_currency_code,TBU
w_policy_transaction_fee_f,account_local_exchange,TBU
w_policy_transaction_fee_f,bank_account_code,TBU
w_policy_transaction_fee_f,bussiness_type,TBU
w_policy_transaction_fee_f,due_post_date,TBU
w_policy_transaction_fee_f,is_reverse,TBU
w_policy_transaction_fee_f,local_currency_code,TBU
w_policy_transaction_fee_f,payer_code,TBU
w_policy_transaction_fee_f,post_date,TBU
w_policy_transaction_fee_f,post_table,TBU
w_policy_transaction_fee_f,premium_year,TBU
w_policy_transaction_fee_f,amount,TBU
w_policy_transaction_fee_f,w_endo_id,TBU
w_policy_transaction_fee_f,w_integration key,TBU
w_policy_transaction_fee_f,w_created_time,TBU
w_policy_transaction_fee_f,w_updated_time,TBU
w_policy_transaction_fee_f,w_job_id,TBU
w_policy_d,w_policy_id,updated
w_policy_d,w_policy_status_id,updated
w_policy_d,w_proposal_id,updated
w_policy_d,w_new_biz_status_id,updated
w_policy_d,policy_type,updated
w_policy_d,master_policy_src_id,updated
w_policy_d,policy_src_id,updated
w_policy_d,master_policy_no,updated
w_policy_d,policy_no,updated
w_policy_d,product_name,updated
w_policy_d,terminal_code,updated
w_policy_d,effective_date,updated
w_policy_d,expriry_date,updated
w_policy_d,last_policy_id,updated
w_policy_d,issue_date,updated
w_policy_d,print_date,updated
w_policy_d,is_renewal_policy,updated
w_policy_d,is_renewable,updated
w_policy_d,plan_code,updated
w_policy_d,sum_insured,updated
w_policy_d,premium_currency,updated
w_policy_d,premium_local_exchage_rate,updated
w_policy_d,si_local_exchage_rate,updated
w_policy_d,local_currency,updated
w_policy_d,premium_type,updated
w_policy_d,reject_desc,updated
w_policy_d,is_package_product,updated
w_policy_d,application_date,updated
w_policy_d,w_integration key,updated
w_policy_d,w_valid_from,updated
w_policy_d,w_valid_to,updated
w_policy_d,w_valid_flag,updated
w_policy_d,w_created_time,updated
w_policy_d,w_updated_time,updated
w_policy_d,w_job_id,updated
w_policy_status_d,w_policy_status_id,updated
w_policy_status_d,status_src_id,updated
w_policy_status_d,status_name,updated
w_policy_status_d,status_alias_name,updated
w_policy_status_d,description,updated
w_policy_status_d,source,updated
w_policy_status_d,w_created_time,updated
w_policy_status_d,w_updated_time,updated
w_policy_status_d,w_job_id,updated
w_proposal_d,w_proposal_id,updated
w_proposal_d,proposal_src_id,updated
w_proposal_d,proposal_no,updated
w_proposal_d,proposal_status,updated
w_proposal_d,proposal_date,updated
w_proposal_d,is_submitted,updated
w_proposal_d,plan_code,updated
w_proposal_d,sum_insured,updated
w_proposal_d,w_integration key,updated
w_proposal_d,w_valid_from,updated
w_proposal_d,w_valid_to,updated
w_proposal_d,w_valid_flag,updated
w_proposal_d,w_created_time,updated
w_proposal_d,w_updated_time,updated
w_proposal_d,w_job_id,updated
w_co_insurer_d,w_co_insurer_id,updated
w_co_insurer_d,w_co_insurance_id,updated
w_co_insurer_d,co_insured_src_id,updated
w_co_insurer_d,insurer_code,updated
w_co_insurer_d,share_rate,updated
w_co_insurer_d,is_leader,updated
w_co_insurer_d,freeze_yn,updated
w_co_insurer_d,short_name_en,updated
w_co_insurer_d,country,updated
w_co_insurer_d,address_vn,updated
w_co_insurer_d,phone,updated
w_co_insurer_d,company_en,updated
w_co_insurer_d,short_name_vn,updated
w_co_insurer_d,insurer_company,updated
w_co_insurer_d,tax_code,updated
